Rate Changes Input Data,,
Date,Percent,
2021-07-01,0%,
2022-07-01,10%,
2023-07-01,12%,
2024-07-01,8.4%,
2025-07-01,8%,

Final On-Level Geometric Calculations,,
Evaluation Date: 2026-12-31,,
Total Current Rate Level: 1.44233,,

Year,Average Rate Index,On-Level Factor
2021,1.00000,1.44166
2022,1.01250,1.42386
2023,1.11650,1.29123
2024,1.24486,1.15809
2025,1.34822,1.06931

Mathematical Interval Breakdowns (z-boundaries),,
Year,Interval [a:b],Geometric Area of (1-|z|)
2022,"[-1.00 : 0.50]",0.87500
2022,"[0.50 : 1.00]",0.12500
2023,"[-1.00 : 0.50]",0.87500
2023,"[0.50 : 1.00]",0.12500
2024,"[-1.00 : 0.50]",0.87500
2024,"[0.50 : 1.00]",0.12500
2025,"[-1.00 : 0.50]",0.87500
2025,"[0.50 : 1.00]",0.12500
